Numero_dossier_ID,temps_total_sec,temps_total_min
5482522,4446.0,74.1
5482544,268.0,4.466666666666667
5482551,299.0,4.983333333333333
5482618,5530.0,92.16666666666667
5482773,1366.0,22.766666666666666
5482777,1145.0,19.083333333333332
5482796,628.0,10.466666666666667
5482832,1028.0,17.133333333333333
5482849,2116.0,35.266666666666666
5482881,285.0,4.75
5482917,64.0,1.0666666666666667
5482920,347.0,5.783333333333333
5482936,5509.0,91.81666666666666
5482977,762.0,12.7
5482980,449.0,7.483333333333333
5483056,1350.0,22.5
5483064,2120.0,35.333333333333336
5483080,2363.0,39.38333333333333
5483135,1325.0,22.083333333333332
5483150,649.0,10.816666666666666
5483182,19831.0,330.51666666666665
5483247,12.0,0.2
5483265,1957.0,32.61666666666667
5483419,1140.0,19.0
5483438,1245.0,20.75
5483474,528.0,8.8
5483487,1084.0,18.066666666666666
5483521,1032.0,17.2
5483528,2685.0,44.75
5483548,389.0,6.483333333333333
5483571,176.0,2.933333333333333
5483594,4672.0,77.86666666666666
5483612,206.0,3.433333333333333
5483665,410.0,6.833333333333333
5483681,2370.0,39.5
5483721,2111.0,35.18333333333333
5483765,1629.0,27.15
5483771,334.0,5.566666666666666
5483789,441.0,7.35
5483819,706.0,11.766666666666667
5483838,390.0,6.5
5483960,133.0,2.216666666666667
5483993,714.0,11.9
5483996,53.0,0.8833333333333333
5484004,2128.0,35.46666666666667
5484005,952.0,15.866666666666667
5484028,1645.0,27.416666666666668
5484059,667.0,11.116666666666667
5484073,337.0,5.616666666666666
5484105,319.0,5.316666666666666
5484170,933.0,15.55
5484192,1545.0,25.75
5484197,234.0,3.9
5484250,238.0,3.966666666666667
5484265,179.0,2.9833333333333334
5484276,878.0,14.633333333333333
5484340,336.0,5.6
5484341,2079.0,34.65
5484365,729.0,12.15
5484379,1170.0,19.5
5484384,2422.0,40.36666666666667
5484429,793.0,13.216666666666667
5484462,7884.0,131.4
5484494,2621.0,43.68333333333333
5484521,3691.0,61.516666666666666
5484554,205.0,3.4166666666666665
5484562,398.0,6.633333333333334
5484576,279.0,4.65
5484604,1642.0,27.366666666666667
5484618,4103.0,68.38333333333334
5484665,1540.0,25.666666666666668
5484708,191.0,3.183333333333333
5484716,1730.0,28.833333333333332
5484736,166.0,2.7666666666666666
5484740,211.0,3.5166666666666666
5484778,198.0,3.3
5484853,812.0,13.533333333333333
5484981,209.0,3.4833333333333334
5485063,591.0,9.85
5485096,626.0,10.433333333333334
5485109,298.0,4.966666666666667
5485123,2979.0,49.65
5485163,514.0,8.566666666666666
5485189,1384.0,23.066666666666666
5485273,1330.0,22.166666666666668
5485311,4324.0,72.06666666666666
5485317,512.0,8.533333333333333
5485321,502.0,8.366666666666667
5485451,581.0,9.683333333333334
5485487,154.0,2.566666666666667
5485513,449.0,7.483333333333333
5485554,145.0,2.4166666666666665
5485573,590.0,9.833333333333334
5485583,4260.0,71.0
5485587,609.0,10.15
5485596,668.0,11.133333333333333
5485629,540.0,9.0
5485635,489.0,8.15
5485638,7178.0,119.63333333333334
5485668,1074.0,17.9
5485678,612.0,10.2
5485689,154.0,2.566666666666667
5485769,2840.0,47.333333333333336
5485787,446.0,7.433333333333334
5485896,5380.0,89.66666666666667
5485910,707.0,11.783333333333333
5485930,747.0,12.45
5485956,1565.0,26.083333333333332
5486004,728.0,12.133333333333333
5486040,415.0,6.916666666666667
5486065,676.0,11.266666666666667
5486136,742.0,12.366666666666667
5486159,35.0,0.5833333333333334
5486175,4015.0,66.91666666666667
5486193,864.0,14.4
5486194,42.0,0.7
5486314,205.0,3.4166666666666665
5486335,1450.0,24.166666666666668
5486360,1706.0,28.433333333333334
5486397,269.0,4.483333333333333
5486431,4960.0,82.66666666666667
5486447,4373.0,72.88333333333334
5486481,334.0,5.566666666666666
5486489,2556.0,42.6
5486521,553.0,9.216666666666667
5486535,2292.0,38.2
5486544,1185.0,19.75
5486598,1664.0,27.733333333333334
5486639,537.0,8.95
5486663,617.0,10.283333333333333
5486669,166.0,2.7666666666666666
5486721,2067.0,34.45
5486747,2847.0,47.45
5486757,385.0,6.416666666666667
5486767,2382.0,39.7
5486815,6063.0,101.05
5486816,311.0,5.183333333333334
5486838,756.0,12.6
5486864,846.0,14.1
5486885,1193.0,19.883333333333333
5486888,6316.0,105.26666666666667
5486897,3523.0,58.71666666666667
5486901,1809.0,30.15
5486913,381.0,6.35
5487091,417.0,6.95
5487109,975.0,16.25
5487128,420.0,7.0
5487129,3132.0,52.2
5487196,557.0,9.283333333333333
5487198,673.0,11.216666666666667
5487208,1014.0,16.9
5487210,682.0,11.366666666666667
5487217,1531.0,25.516666666666666
5487290,437.0,7.283333333333333
5487331,2222.0,37.03333333333333
5487430,233.0,3.8833333333333333
5487489,948.0,15.8
5487545,290.0,4.833333333333333
5487600,1237.0,20.616666666666667
5487663,69.0,1.15
5487700,3309.0,55.15
5487704,1053.0,17.55
5487739,3671.0,61.18333333333333
5487748,613.0,10.216666666666667
5487752,465.0,7.75
5487775,1006.0,16.766666666666666
5487824,158.0,2.6333333333333333
5487838,493.0,8.216666666666667
5487847,897.0,14.95
5487848,925.0,15.416666666666666
5487860,778.0,12.966666666666667
5487866,316.0,5.266666666666667
5487942,352.0,5.866666666666666
5487958,760.0,12.666666666666666
5487965,547.0,9.116666666666667
5488011,1349.0,22.483333333333334
5488032,1393.0,23.216666666666665
5488035,1262.0,21.033333333333335
5488065,384.0,6.4
5488129,101.0,1.6833333333333333
5488145,258.0,4.3
5488171,3410.0,56.833333333333336
5488199,343.0,5.716666666666667
5488207,206.0,3.433333333333333
5488221,1122.0,18.7
5488224,521.0,8.683333333333334
5488264,2268.0,37.8
5488270,472.0,7.866666666666666
5488313,278.0,4.633333333333334
5488328,1770.0,29.5
5488373,375.0,6.25
5488377,254.0,4.233333333333333
5488404,7.0,0.11666666666666667
5488421,982.0,16.366666666666667
5488439,702.0,11.7
5488469,912.0,15.2
5488637,993.0,16.55
5488718,663.0,11.05
5488736,892.0,14.866666666666667
5488741,173.0,2.8833333333333333
5488863,2209.0,36.81666666666667
5489019,420.0,7.0
5489041,289.0,4.816666666666666
5489094,277.0,4.616666666666666
5489173,3274.0,54.56666666666667
5489222,387.0,6.45
5489225,1918.0,31.966666666666665
5489234,174.0,2.9
5489273,266.0,4.433333333333334
5489285,2030.0,33.833333333333336
5489341,6135.0,102.25
5489433,909.0,15.15
5489449,6187.0,103.11666666666666
5489489,2263.0,37.71666666666667
5489494,3640.0,60.666666666666664
5489515,696.0,11.6
5489533,1261.0,21.016666666666666
5489574,710.0,11.833333333333334
5489582,276.0,4.6
5489602,307.0,5.116666666666666
5489612,474.0,7.9
5489618,2209.0,36.81666666666667
5489630,1515.0,25.25
5489650,1654.0,27.566666666666666
5489653,832.0,13.866666666666667
5489658,9941.0,165.68333333333334
5489683,3845.0,64.08333333333333
5489774,980.0,16.333333333333332
5489800,406.0,6.766666666666667
5489938,1027.0,17.116666666666667
5489939,1161.0,19.35
5489971,2718.0,45.3
5490053,2313.0,38.55
5490081,1219.0,20.316666666666666
5490089,807.0,13.45
5490240,824.0,13.733333333333333
5490267,743.0,12.383333333333333
5490324,179.0,2.9833333333333334
5490329,1218.0,20.3
5490362,1744.0,29.066666666666666
5490410,4980.0,83.0
5490412,5666.0,94.43333333333334
5490490,5507.0,91.78333333333333
5490514,190.0,3.1666666666666665
5490520,822.0,13.7
5490542,171.0,2.85
5490552,650.0,10.833333333333334
5490554,550.0,9.166666666666666
5490555,1914.0,31.9
5490581,5062.0,84.36666666666666
5490583,4244.0,70.73333333333333
5490605,256.0,4.266666666666667
5490628,209.0,3.4833333333333334
5490675,377.0,6.283333333333333
5490677,761.0,12.683333333333334
